"filename", "language", "Markdown", "JavaScript", "PHP", "JSON", "MS SQL", "Log", "Shell Script", "PostCSS", "comment", "blank", "total"
"c:\xampp\htdocs\juniata\code-bunker\.claude\commands\commit.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\xampp\htdocs\juniata\code-bunker\.claude\commands\issue.md", "Markdown", 170, 0, 0, 0, 0, 0, 0, 0, 0, 52, 222
"c:\xampp\htdocs\juniata\code-bunker\.claude\commands\issue.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 23
"c:\xampp\htdocs\juniata\code-bunker\.claude\commands\review-and-commit.md", "Markdown", 171, 0, 0, 0, 0, 0, 0, 0, 0, 28, 199
"c:\xampp\htdocs\juniata\code-bunker\.claude\settings.local.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\xampp\htdocs\juniata\code-bunker\CLAUDE.md", "Markdown", 353, 0, 0, 0, 0, 0, 0, 0, 0, 39, 392
"c:\xampp\htdocs\juniata\code-bunker\README.md", "Markdown", 228, 0, 0, 0, 0, 0, 0, 0, 0, 73, 301
"c:\xampp\htdocs\juniata\code-bunker\add_test_data.php", "PHP", 0, 0, 184, 0, 0, 0, 0, 0, 8, 16, 208
"c:\xampp\htdocs\juniata\code-bunker\assets\css\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 810, 55, 175, 1040
"c:\xampp\htdocs\juniata\code-bunker\assets\js\main.js", "JavaScript", 0, 325, 0, 0, 0, 0, 0, 0, 58, 59, 442
"c:\xampp\htdocs\juniata\code-bunker\assets\js\main.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\juniata\code-bunker\config\config.php", "PHP", 0, 0, 203, 0, 0, 0, 0, 0, 90, 47, 340
"c:\xampp\htdocs\juniata\code-bunker\config\database.php", "PHP", 0, 0, 119, 0, 0, 0, 0, 0, 60, 28, 207
"c:\xampp\htdocs\juniata\code-bunker\create_activity_log.sql", "MS SQL", 0, 0, 0, 0, 19, 0, 0, 0, 4, 3, 26
"c:\xampp\htdocs\juniata\code-bunker\database\schema.sql", "MS SQL", 0, 0, 0, 0, 273, 0, 0, 0, 23, 24, 320
"c:\xampp\htdocs\juniata\code-bunker\fix_database.php", "PHP", 0, 0, 547, 0, 0, 0, 0, 0, 28, 56, 631
"c:\xampp\htdocs\juniata\code-bunker\includes\auth.php", "PHP", 0, 0, 299, 0, 0, 0, 0, 0, 83, 68, 450
"c:\xampp\htdocs\juniata\code-bunker\includes\footer.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"c:\xampp\htdocs\juniata\code-bunker\includes\functions.php", "PHP", 0, 0, 1661, 0, 0, 0, 0, 0, 397, 325, 2383
"c:\xampp\htdocs\juniata\code-bunker\includes\header.php", "PHP", 0, 0, 172, 0, 0, 0, 0, 0, 9, 16, 197
"c:\xampp\htdocs\juniata\code-bunker\index.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 9, 3, 21
"c:\xampp\htdocs\juniata\code-bunker\logs\error.log", "Log", 0, 0, 0, 0, 0, 1349, 0, 0, 0, 141, 1490
"c:\xampp\htdocs\juniata\code-bunker\manifest.json", "JSON", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 80
"c:\xampp\htdocs\juniata\code-bunker\pages\calendar.php", "PHP", 0, 0, 776, 0, 0, 0, 0, 0, 68, 134, 978
"c:\xampp\htdocs\juniata\code-bunker\pages\dashboard.php", "PHP", 0, 0, 1111, 0, 0, 0, 0, 0, 65, 134, 1310
"c:\xampp\htdocs\juniata\code-bunker\pages\login.php", "PHP", 0, 0, 232, 0, 0, 0, 0, 0, 9, 31, 272
"c:\xampp\htdocs\juniata\code-bunker\pages\logout.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 6, 3, 15
"c:\xampp\htdocs\juniata\code-bunker\pages\project_view.php", "PHP", 0, 0, 2019, 0, 0, 0, 0, 0, 94, 294, 2407
"c:\xampp\htdocs\juniata\code-bunker\pages\projects.php", "PHP", 0, 0, 665, 0, 0, 0, 0, 0, 47, 78, 790
"c:\xampp\htdocs\juniata\code-bunker\pages\reports.php", "PHP", 0, 0, 564, 0, 0, 0, 0, 0, 12, 38, 614
"c:\xampp\htdocs\juniata\code-bunker\pages\settings.php", "PHP", 0, 0, 280, 0, 0, 0, 0, 0, 12, 26, 318
"c:\xampp\htdocs\juniata\code-bunker\pages\simple_test.php", "PHP", 0, 0, 63, 0, 0, 0, 0, 0, 5, 7, 75
"c:\xampp\htdocs\juniata\code-bunker\pages\task_view.php", "PHP", 0, 0, 641, 0, 0, 0, 0, 0, 26, 85, 752
"c:\xampp\htdocs\juniata\code-bunker\pages\tasks.php", "PHP", 0, 0, 613, 0, 0, 0, 0, 0, 33, 58, 704
"c:\xampp\htdocs\juniata\code-bunker\pages\template_view.php", "PHP", 0, 0, 945, 0, 0, 0, 0, 0, 48, 128, 1121
"c:\xampp\htdocs\juniata\code-bunker\pages\templates.php", "PHP", 0, 0, 228, 0, 0, 0, 0, 0, 9, 29, 266
"c:\xampp\htdocs\juniata\code-bunker\setup_admin.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 0, 8, 11, 72
"c:\xampp\htdocs\juniata\code-bunker\sw.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 21, 18, 157
"c:\xampp\htdocs\juniata\code-bunker\test.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 4, 6, 40
"c:\xampp\htdocs\juniata\code-bunker\test_db.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 0, 11, 15, 96
"Total", "-", 982, 444, 11499, 97, 292, 1349, 11, 810, 1315, 2264, 19063